18禁	18禁 🔞
精灵	精灵 🧝‍♂️ 🧝‍♀️ 精灵 🧝🏻 精灵 🧝‍♂ 🧝 🧝‍♀ 🧝🏻‍♂️ 🧝🏼‍♂️ 🧝🏽‍♂️ 🧝🏾‍♂️ 🧝🏿‍♂️ 🧝🏻 🧝🏼 🧝🏽 🧝🏾 🧝🏿 🧝🏻‍♀️ 🧝🏼‍♀️ 🧝🏽‍♀️ 🧝🏾‍♀️ 🧝🏿‍♀️
精灵女	精灵女 🧝🏻‍♀️
精灵族	精灵族 🧝‍♂️ 🧝‍♀️ 精灵族 🧝🏻
精灵族女	精灵族女 🧝🏻‍♀️
精灵族男	精灵族男 🧝🏻‍♂️
精灵男	精灵男 🧝🏻‍♂️
糊塗	糊塗 🥴
糊涂	糊涂 🥴
糕点	糕点 🍰️
糖	糖 🍬 糖 🍬️ 糖 🍬 🍭
糖果	糖果 🍬 糖果 🍬️ 糖果 🍬 🍭
糖果球	糖果球 🎊
糖葫蘆	糖葫蘆 🍡️
糞	糞 💩️
糞便	糞便 💩️
糟糕	糟糕 X﹏X
糧	糧 🌽 🥔 🍠 🥜 🌰
糯米丸子	糯米丸子 🍡️
糯米团	糯米团 🍡
糸部	糸部 纟 糹 糸
系有缎带的心	系有缎带的心 💝
糾結	糾結 😂️ 🤦🏻
糾結女	糾結女 🤦🏻‍♀️
糾結男	糾結男 🤦🏻‍♂️
約旦	約旦 🇯🇴
納扎护身符	納扎护身符 🧿
納扎爾护身符	納扎爾护身符 🧿
納扎爾球	納扎爾球 🧿
納米比亞	納米比亞 🇳🇦
紐埃	紐埃 🇳🇺
紐約	紐約 🗽️
紐西蘭	紐西蘭 🇳🇿
紗麗	紗麗 🥻
紙幣	紙幣 💵 💶 💷 💴
紙鳶	紙鳶 🪁
紙鷂	紙鷂 🪁
索引卡	索引卡 📇️
索羅門羣岛	索羅門羣岛 🇸🇧
索马利亞	索馬利亞 🇸🇴
索马里	索马里 🇸🇴 索馬里 🇸🇴 索马里 🇸🇴
索马里联邦	索马里联邦 🇸🇴
索马里联邦共和国	索马里联邦共和国 🇸🇴
紧张	紧张 😰
紫	紫 🟪
紫圓	紫圓 🟣
紫心	紫心 💜 紫心 💜️
紫色	紫色 🟣 🟪 紫色 🟪
紫色心	紫色心 💜
紫色的心	紫色的心 💜
累	累 😫 😩 🙀 (ρ_・).。
累乘	累乘 ∏
累了	累了 🫩 累了 😑️
累加	累加 ∑
細菌	細菌 🦠
紳士	紳士 🤵🏻‍♂️
結	結 🪢
結他	結他 🎸️
結婚	結婚 💒️
結婚戒指	結婚戒指 💍️
絡腮鬍	絡腮鬍 🧔🏻
絡腮鬍女	絡腮鬍女 🧔🏻‍♀️
絡腮鬍男	絡腮鬍男 🧔🏻‍♂️
給錢	給錢 🤑️
維德角	維德角 🇨🇻
網	網 🕸️
網球	網球 🎾️
綵帶	綵帶 🎀️
綵旗	綵旗 🚩️
綵球	綵球 🎊️
綵蛋	綵蛋 🎉️
綿羊	綿羊 🐑️
緊急	緊急 🆘️
緬甸	緬甸 🇲🇲
縫衣針	縫衣針 🪡
繁星	繁星 ✨️
繡珍光盤	繡珍光盤 💽️
繡珍光碟	繡珍光碟 💽️
繩結	繩結 🪢
繪畫	繪畫 🎨️
纏头	纏头 👳🏾
纏头女	纏头女 👳🏾‍♀️
纏头男	纏头男 👳🏾‍♂️
纜车	纜车 🚡️
纠结	纠结 😖 纠结 o(′益`)o
红	红 🟥
红中	红中 🀄 红中 🀄️
红凤凰	红凤凰 🐦‍🔥
红包	红包 🧧 红包 🧧 红包 🧧
红发	红发 👨‍🦰 👩‍🦰 🦰 红发 🧑🏻‍🦰
红发女	红发女 👩‍🦰 红发女 👩🏻‍🦰
红发女人	红发女人 👩‍🦰
红发女子	红发女子 👩‍🦰
红发男	红发男 👨‍🦰 👨‍🦱 红发男 👨🏻‍🦰
红发男人	红发男人 👨‍🦰 👨‍🦱
红发男子	红发男子 👨‍🦰 👨‍🦱
红唇	红唇 💋 👄
红圓	红圓 🔴️
红头发	红头发 👩‍🦰 🦰 红头发 🧑🏻‍🦰
红头发女	红头发女 👩🏻‍🦰
红头发男	红头发男 👨🏻‍🦰
红娘	红娘 💘️
红心	红心 ♥️ 红心 ♥️ ❤️
红旗	红旗 🇨🇳 红旗 🚩
红桃	红桃 ♥️ 红桃 ♥ ♡
红毛猩猩	红毛猩猩 🦧
红灯笼	红灯笼 🏮
红猩猩	红猩猩 🦧
红玫瑰	红玫瑰 🌹 红玫瑰 🌹️
红绿灯	红绿灯 🚥 🚦 红绿灯 🚥 🚦
红绿燈	红绿燈 🚥️ 🚦️
红色	红色 🔴 🟥 红色 🟥
红色书本	红色书本 📕
红色倒三角	红色倒三角 🔻
红色头发	红色头发 👨‍🦰 👩‍🦰 🦰
红色旗帜	红色旗帜 🚩
红色正三角	红色正三角 🔺
红色的书	红色的书 📕
红苹果	红苹果 🍎
红萝卜	红萝卜 🫜
红葉	红葉 🍁️
红薯	红薯 🍠 红薯 🍠️ 红薯 🍠
红蘋果	红蘋果 🍎️
红蘿蔔	红蘿蔔 🥕
红豆	红豆 🫘
红辣椒	红辣椒 🌶
红酒	红酒 🍷️ 红酒 🍷
红酒杯	红酒杯 🍷
红鶴	红鶴 🦩
红鸛	红鸛 🦩
纤维素	纤维素 (C₆H₁₀O₅)n
约	约 ≈
约塔	约塔 iota ι Ι
约旦	约旦 🇯🇴 约旦 🇯🇴
约旦哈希姆王国	约旦哈希姆王国 🇯🇴
约等	约等 ≈
约等于	约等于 ≈
约等号	约等号 ≈
纯碱	纯碱 Na₂CO₃
纱丽	纱丽 🥻
纱仓真菜	纱仓真菜 紗倉まな
纱纱原百合	纱纱原百合 紗々原ゆり
纱线	纱线 🧶
纳秒	纳秒 ns nanosecond
纳米	纳米 ㎚ 纳米 nm nanometer
纳米比亚	纳米比亚 🇳🇦 纳米比亚 🇳🇦
纳米比亚共和国	纳米比亚共和国 🇳🇦
纳粹	纳粹 卐 纳粹 卐
纸	纸 📄 纸 📃 📜 📄 🧻
纸巾	纸巾 🧻
纸币	纸币 💵 纸币 💵 💶 💷 💴 🧻
纸杯蛋糕	纸杯蛋糕 🧁
纸烟	纸烟 🚬
纸箱	纸箱 📦
纸箱子	纸箱子 📦
纸鸢	纸鸢 🪁
纽埃	纽埃 🇳🇺
线	线 🧵 线 🧵 🧶 ➰ ➿ ᝰ 〰️ ︴ ﹏ ﹌ ﹋ ╳ ╲ ╱ ︶ ︵ 〵 〴 〳 〆 〄
线团	线团 🧶 线团 🧶
线圈日历	线圈日历 🗓
线圈本	线圈本 🗒 线圈本 🗒️
线圈笔记本	线圈笔记本 🗒
线虫	线虫 🪱
线軸	线軸 🧵
线輪	线輪 🧵
线轴	线轴 🧵
绀野光	绀野光 紺野ひかる
练腿	练腿 🦵
细菌	细菌 🦠 细菌 🦠
织田真子	织田真子 織田真子
终	终 🈡
终点	终点 🏁
终点旗	终点旗 🏁
经纬线	经纬线 🌐
结	结 🪢
结城美佐	结城美佐 結城みさ
结城莉乃	结城莉乃 結城りの
结婚	结婚 💒
结束	结束 🔚
结构	结构 ⿰ ⿱ ⿲ ⿳ ⿴ ⿵ ⿶ ⿷ ⿸ ⿹ ⿺ ⿻ 〾
给我打电话	给我打电话 🤙
络腮胡	络腮胡 🧔
绝了	绝了 👍
绞丝	绞丝 纟 糹 糸
绞丝儿	绞丝儿 纟 糹 糸
绞丝儿旁	绞丝儿旁 纟 糹 糸
绞丝底	绞丝底 纟 糹 糸
绞丝旁	绞丝旁 纟 糹 糸
统计	统计 📈 📉 📊
绣花针	绣花针 🪡
绫濑心	绫濑心 綾瀬こころ
绳	绳 🪢
绳子	绳子 🪢 绳子 🪢
绳结	绳结 🪢
绵羊	绵羊 🐑 绵羊 🐑
绷带	绷带 🤕
绿	绿 🟩
绿叶蔬菜	绿叶蔬菜 🥬
绿圓	绿圓 🟢
绿帽	绿帽 🪖
绿心	绿心 💚 绿心 💚️
绿皮火车	绿皮火车 🚆
绿矾	绿矾 FeSO₄·7H₂O
绿色	绿色 🟢 🟩 绿色 ♻️ 🟩
绿色书本	绿色书本 📗
绿色心	绿色心 💚
绿色沙拉	绿色沙拉 🥗
绿色的书	绿色的书 📗
绿色的心	绿色的心 💚
绿花椰菜	绿花椰菜 🥦
绿苹果	绿苹果 🍏
绿茶	绿茶 🍵️
绿菜	绿菜 🥬
绿菜花	绿菜花 🥦
绿藻	绿藻 🦠
缅甸	缅甸 🇲🇲 缅甸 🇲🇲
缅甸联邦	缅甸联邦 🇲🇲
缅甸联邦共和国	缅甸联邦共和国 🇲🇲
缆车	缆车 🚠 🚡 缆车 🚡
缝纫	缝纫 🪡
缝纫针	缝纫针 🪡
缝衣针	缝衣针 🪡
缝补	缝补 🪡
缠满绷带	缠满绷带 🤕
缠绷带	缠绷带 🤕
缺心眼	缺心眼 🤪 (´◑д◐｀)
缺月	缺月 🌖️
罐	罐 🫙 罐 🫙 🏺
罐头	罐头 🥫 罐头 🥫 罐头 🥫
罐头食品	罐头食品 🥫
罐子	罐子 🫙
网球	网球 🎾 网球 🎾
网球鞋	网球鞋 👟
网络	网络 🛜
罗斯	罗斯 Ross
罗盘	罗盘 🧭
罗马尼亚	罗马尼亚 🇷🇴 罗马尼亚 🇷🇴
罗马数字	罗马数字 ⅰ ⅱ ⅲ ⅳ ⅴ ⅵ ⅶ ⅷ ⅸ ⅹ ⅺ ⅻ ⅼ ⅽ ⅾ ⅿ Ⅰ Ⅱ Ⅲ Ⅳ Ⅴ Ⅵ Ⅶ Ⅷ Ⅸ Ⅹ Ⅺ Ⅻ Ⅼ Ⅽ Ⅾ Ⅿ
羅马尼亞	羅馬尼亞 🇷🇴
羊	羊 🐑 羊 🐏️ 🐐️ 🐑️ 羊 🐏 🐑 🐐 ꒰๑͒･ｪ･๑͒꒱
羊字头	羊字头 ⺷ ⺶
羊字旁	羊字旁 ⺶ ⺷
羊排	羊排 🥩
羊皮紙	羊皮紙 📜️
羊羊	羊羊 🐑
羊肉	羊肉 🐏️
羊角面包	羊角面包 🥐
羊角麪包	羊角麪包 🥐 🥐
羊駝	羊駝 🦙
羊驼	羊驼 🦙 羊驼 🦙
美乃雀	美乃雀 美乃すずめ
美之岛惠理	美之岛惠理 美ノ嶋めぐり
美人鱼	美人鱼 🧜‍♀️ 美人鱼 🧜🏻‍♀️ 美人鱼 🧜‍♂ 🧜 🧜‍♀ 🧜🏻‍♂️ 🧜🏼‍♂️ 🧜🏽‍♂️ 🧜🏾‍♂️ 🧜🏿‍♂️ 🧜🏻 🧜🏼 🧜🏽 🧜🏾 🧜🏿 🧜🏻‍♀️ 🧜🏼‍♀️ 🧜🏽‍♀️ 🧜🏾‍♀️ 🧜🏿‍♀️
美元	美元 $ 💵 💲 美元 💵️ 美元 💵 $ ㌦
美元钞票	美元钞票 💵
美刀	美刀 $ 美刀 💵️
美分	美分 ¢
美利坚	美利坚 🇺🇸
美利坚合众国	美利坚合众国 🇺🇸
美利堅	美利堅 🇺🇸
美味	美味 😋 美味 😋️ 😍️ 😻️ 美味 😋
美咲佳奈	美咲佳奈 美咲かんな
美咲结衣	美咲结衣 美咲結衣
美园和花	美园和花 美園和花
美国	美国 🇺🇸 美国 🇺🇸 美国 🇺🇸 美利坚合众国
美国本土外小岛屿	美国本土外小岛屿 🇺🇲
美圓	美圓 💵️
美女	美女 😍️ 😻️
美容	美容 💆‍♂️ 💆‍♀️
美容美发	美容美发 💇‍♂️ 💇‍♀️
美属维尔京群岛	美属维尔京群岛 🇻🇮
美属萨摩亚	美属萨摩亚 🇦🇸
美屬維京羣岛	美屬維京羣岛 🇻🇮
美屬維爾京羣岛	美屬維爾京羣岛 🇻🇮
美屬薩摩亞	美屬薩摩亞 🇦🇸
美式九球	美式九球 🎱️
美式橄榄球	美式橄榄球 🏈
美式足球	美式足球 🏈 美式足球 🏈️ 美式足球 🏈
美术	美术 🎨
美波桃	美波桃 美波もも
美波那美	美波那美 美波なみ
美洲	美洲 🌎 美洲 🌎️
美洲地球仪	美洲地球仪 🌎
美洲豹	美洲豹 🐆
美洲驼	美洲驼 🦙
美甲	美甲 💅 美甲 💅🏻️
美男鱼	美男鱼 🧜‍♂️
美神葵	美神葵 美神あおい
美竹铃	美竹铃 美竹すず
美谷朱里	美谷朱里 美谷あかり
美里有纱	美里有纱 美里有紗
美金	美金 💵️
美鈔	美鈔 💵️
美雏	美雏 みひな 永井美雏 永井みひな
美雪艾莉丝	美雪艾莉丝 美雪ありす
羞	羞 😚️ 🙈️
羞涩	羞涩 😳
羞涩亲亲	羞涩亲亲 😚
羞澀	羞澀 😚️
羞羞	羞羞 😚️
羣岛	羣岛 🗾️
義大利	義大利 🇮🇹
義大利麪	義大利麪 🍝️
羽	羽 🪶
羽咲美晴	羽咲美晴 羽咲みはる
羽毛	羽毛 🪶 羽毛 🪶 羽毛 🪶
羽毛球	羽毛球 🏸 羽毛球 🏸️ 羽毛球 🏸
羽毛球拍	羽毛球拍 🏸 羽毛球拍 🏸️
羽翼	羽翼 🪽 羽翼 🪽
翅	翅 🪽
翅膀	翅膀 🪽 翅膀 🪽 翅膀 🪽
翅膀钱	翅膀钱 💸
習題	習題 📖️
翻墙	翻墙 🪜
翻白眼	翻白眼 🙄 翻白眼 [翻白眼]
翻白眼儿	翻白眼儿 🙄
翻筋斗	翻筋斗 🤸‍♂️ 🤸‍♀️
翻跟头	翻跟头 🤸‍♂️ 🤸‍♀️ 翻跟头 🤸 🤸‍♂️ 🤸‍♀️ 🤸🏻‍♂️ 🤸🏼‍♂️ 🤸🏽‍♂️ 🤸🏾‍♂️ 🤸🏿‍♂️ 🤸🏻‍♀️ 🤸🏼‍♀️ 🤸🏽‍♀️ 🤸🏾‍♀️ 🤸🏿‍♀️
翼	翼 🪽
翼舞	翼舞 つばさ舞
翼葵	翼葵 翼あおい 葵伊吹 葵いぶき
老	老 🧓🏻
老人	老人 👴 👵 老人 🧓🏻 老人 👴 👨‍🦳 👵 🧓 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老倌	老倌 👴🏻️
老太	老太 👵🏻️
老太太	老太太 👵 老太太 👵 🧓 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老头	老头 👴 老头 👴🏻️ 老头 👴 👨‍🦳 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳
老头儿	老头儿 👴
老女人	老女人 👵🏻️
老奶	老奶 👵🏻️
老奶奶	老奶奶 👵
老妈	老妈 👩 老妈 👩🏻️
老字头	老字头 耂
老师	老师 👨‍🏫 👩‍🏫 老师 👨‍🏫 🧑‍🏫 👩‍🏫 👨🏻‍🏫 👨🏼‍🏫 👨🏽‍🏫 👨🏾‍🏫 👨🏿‍🏫 🧑🏻‍🏫 🧑🏼‍🏫 🧑🏽‍🏫 🧑🏾‍🏫 🧑🏿‍🏫 👩🏻‍🏫 👩🏼‍🏫 👩🏽‍🏫 👩🏾‍🏫 👩🏿‍🏫
老師	老師 🧑🏻‍🏫
老師女	老師女 👩🏻‍🏫
老師男	老師男 👨🏻‍🏫
老年人	老年人 👴 👨‍🦳 👵 🧓 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老式钥匙	老式钥匙 🗝
老挝	老挝 🇱🇦 老挝 🇱🇦
老挝人民民主共和国	老挝人民民主共和国 🇱🇦
老撾	老撾 🇱🇦
老母	老母 👩🏻️
老火车	老火车 🚂️
老爷爷	老爷爷 👴
老爸	老爸 👨🏻️
老爹	老爹 👨
老男人	老男人 👴🏻️
老竇	老竇 👨🏻️
老者	老者 👴 👨‍🦳 👵 🧓 👴🏻 👴🏼 👴🏽 👴🏾 👴🏿 👨🏻‍🦳 👨🏼‍🦳 👨🏽‍🦳 👨🏾‍🦳 👨🏿‍🦳 👵🏻 👵🏼 👵🏽 👵🏾 👵🏿 🧓🏻 🧓🏼 🧓🏽 🧓🏾 🧓🏿
老花鏡	老花鏡 👓️
老虎	老虎 🐯 🐅 老虎 🐅️ 老虎 🐯 🐅
老虎头	老虎头 🐯
老虎机	老虎机 🎰
老虎機	老虎機 🎰️
老虎脸	老虎脸 🐯
老豆	老豆 👨🏻️
老遊戲	老遊戲 👾️
老钥匙	老钥匙 🗝
老鹰	老鹰 🦅 老鷹 🦅 老鹰 🦅 𓄿 𓆂
老鼠	老鼠 🐭 🐀 老鼠 🐀️ 老鼠 🐭 🐁 🐀
老鼠头	老鼠头 🐭
老鼠夹	老鼠夹 🪤
老鼠脸	老鼠脸 🐭
考拉	考拉 🐨 考拉 🐨️ 考拉 🐨
耗子	耗子 🐭 🐀
耳	耳 👂 耳 👂🏻️ 耳 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
耳仔	耳仔 👂🏻️
耳刀旁	耳刀旁 卩 阝
耳放	耳放 🎧️
耳朵	耳朵 👂 耳朵 👂🏻️ 耳朵 👂 🦻 👂🏻 👂🏼 👂🏽 👂🏾 👂🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
耳机	耳机 🎧 耳机 🎧
耳機	耳機 🎧️
耳聋	耳聋 🧏‍♂️ 🧏‍♀️
耳聾	耳聾 🧏🏻
耳聾女	耳聾女 🧏🏻‍♀️
耳聾男	耳聾男 🧏🏻‍♂️
耶	耶 ✌️ 耶 ✌🏻️ 耶 [耶]
耸肩	耸肩 🤷‍♂️ 🤷‍♀️ 耸肩 🤷‍♂ 🤷 🤷‍♀ 🤷🏻‍♂️ 🤷🏼‍♂️ 🤷🏽‍♂️ 🤷🏾‍♂️ 🤷🏿‍♂️ 🤷🏻 🤷🏼 🤷🏽 🤷🏾 🤷🏿 🤷🏻‍♀️ 🤷🏼‍♀️ 🤷🏽‍♀️ 🤷🏾‍♀️ 🤷🏿‍♀️
耿西	耿西 🇬🇬
聊天	聊天 💬️
聊天气泡	聊天气泡 💬️
聋	聋 🧏‍♂️ 🧏‍♀️ 🧏 🦻 🧏🏻‍♂️ 🧏🏼‍♂️ 🧏🏽‍♂️ 🧏🏾‍♂️ 🧏🏿‍♂️ 🧏🏻‍♀️ 🧏🏼‍♀️ 🧏🏽‍♀️ 🧏🏾‍♀️ 🧏🏿‍♀️ 🧏🏻 🧏🏼 🧏🏽 🧏🏾 🧏🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
聋哑	聋哑 🧏‍♂️ 🧏‍♀️ 🧏 🦻 🧏🏻‍♂️ 🧏🏼‍♂️ 🧏🏽‍♂️ 🧏🏾‍♂️ 🧏🏿‍♂️ 🧏🏻‍♀️ 🧏🏼‍♀️ 🧏🏽‍♀️ 🧏🏾‍♀️ 🧏🏿‍♀️ 🧏🏻 🧏🏼 🧏🏽 🧏🏾 🧏🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
聋子	聋子 🧏‍♂️ 🧏‍♀️ 聋子 🧏‍♂️ 🧏‍♀️ 🧏 🦻 🧏🏻‍♂️ 🧏🏼‍♂️ 🧏🏽‍♂️ 🧏🏾‍♂️ 🧏🏿‍♂️ 🧏🏻‍♀️ 🧏🏼‍♀️ 🧏🏽‍♀️ 🧏🏾‍♀️ 🧏🏿‍♀️ 🧏🏻 🧏🏼 🧏🏽 🧏🏾 🧏🏿 🦻🏻 🦻🏼 🦻🏽 🦻🏾 🦻🏿
职员	职员 👨‍💼 👩‍💼 职员 👨‍💼 🧑‍💼 👩‍💼 👨🏻‍💼 👨🏼‍💼 👨🏽‍💼 👨🏾‍💼 👨🏿‍💼 🧑🏻‍💼 🧑🏼‍💼 🧑🏽‍💼 🧑🏾‍💼 🧑🏿‍💼 👩🏻‍💼 👩🏼‍💼 👩🏽‍💼 👩🏾‍💼 👩🏿‍💼
联合国	联合国 🇺🇳 联合国 🇺🇳
聖佑达修斯	聖佑达修斯 🇧🇶
聖克里斯多福及尼維斯	聖克里斯多福及尼維斯 🇰🇳
聖基茨和尼維斯	聖基茨和尼維斯 🇰🇳
聖多美和普林西比	聖多美和普林西比 🇸🇹
聖多美普林西比	聖多美普林西比 🇸🇹
聖嬰	聖嬰 👼🏻️
聖尤斯特歇斯	聖尤斯特歇斯 🇧🇶
聖巴泰勒米	聖巴泰勒米 🇧🇱
聖巴瑟米	聖巴瑟米 🇧🇱
聖文森及格瑞那丁	聖文森及格瑞那丁 🇻🇨
聖文森特和格林納丁斯	聖文森特和格林納丁斯 🇻🇨
聖皮埃爾和密克隆	聖皮埃爾和密克隆 🇵🇲
聖皮耶与密克隆	聖皮耶与密克隆 🇵🇲
聖盧西亞	聖盧西亞 🇱🇨
聖誕奶奶	聖誕奶奶 🤶🏻
聖誕岛	聖誕岛 🇨🇽
聖誕树	聖誕树 🎄️
聖誕老人	聖誕老人 🎅🏻️ 🧑🏻‍🎄
聖誕老奶奶	聖誕老奶奶 🤶🏻
聖誕老爺爺	聖誕老爺爺 🎅🏻️
聖赫倫那	聖赫倫那 🇸🇭
聖赫勒拿	聖赫勒拿 🇸🇭
聖露西亞	聖露西亞 🇱🇨
聖马利諾	聖馬利諾 🇸🇲
聖马力諾	聖馬力諾 🇸🇲
聘礼	聘礼 💝️
聚会	聚会 🍻️ 聚会 🥳 🎉 🎊
聯合国	聯合国 🇺🇳
聯結	聯結 🔗️
聰明	聰明 😇️
職員	職員 🧑🏻‍💼
職員女	職員女 👩🏻‍💼
職員男	職員男 👨🏻‍💼
聽不下去	聽不下去 😞️
聽不懂	聽不懂 😵️
聽不见	聽不见 🧏🏻
聽不见女	聽不见女 🧏🏻‍♀️
聽不见男	聽不见男 🧏🏻‍♂️
聽唔到	聽唔到 🙉️
聽診器	聽診器 🩺
聽音乐	聽音乐 🎧️
聾	聾 🧏🏻
聾啞	聾啞 🧏🏻
聾啞人	聾啞人 🧏🏻
聾啞人女	聾啞人女 🧏🏻‍♀️
聾啞人男	聾啞人男 🧏🏻‍♂️
聾啞女	聾啞女 🧏🏻‍♀️
聾啞男	聾啞男 🧏🏻‍♂️
聾女	聾女 🧏🏻‍♀️
聾子	聾子 🧏🏻
聾子女	聾子女 🧏🏻‍♀️
聾子男	聾子男 🧏🏻‍♂️
聾男	聾男 🧏🏻‍♂️
肉	肉 🍖 🥩 肉 🥩 🥓 🍗 🍖 🍤 肉 🍖 🍗 🥩 🥓 🍤
肉串	肉串 🍢
肉丸	肉丸 🧆
肉丸子	肉丸子 🧆
肉捲	肉捲 🥓
肉排	肉排 🥩
肉肉	肉肉 🍖 🥩
肋排	肋排 🥩
肌	肌 💪🏻️
肌肉	肌肉 💪 肌肉 💪🏻️ 肌肉 💪 ┗|*｀0′*|┛ 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿
肏	肏 🤬
肏你妈	肏你妈 🤬 肏你妈 🤬
肤色	肤色 🏻 🏼 🏽 🏾 🏿 肤色 🏻 🏼 🏽 🏾 🏿 肤色 🏻 🏼 🏽 🏾 🏿
肥猪	肥豬 🐖️
肥皂	肥皂 🧼 肥皂 🧼 肥皂 🧼
肥皂泡	肥皂泡 🫧
肩並肩	肩並肩 🧑🏻‍🤝‍🧑🏻
肯亞	肯亞 🇰🇪
肯尼亚	肯尼亚 🇰🇪 肯尼亚 🇰🇪
肯尼亚共和国	肯尼亚共和国 🇰🇪
肯尼亞	肯尼亞 🇰🇪
肱二头	肱二头 💪
肱二头肌	肱二头肌 💪
育婴室	育婴室 🚼
肺	肺 🫁 肺 🫁 肺 🫁
胆矾	胆矾 CuSO₄·5H₂O
背包	背包 🎒 背包 🎒️
背囊	背囊 🎒
背心	背心 🎽️
胖达	胖达 🐼
胜	胜 🉇
胜利	胜利 ✌️ 胜利 ✌ ✌🏻 ✌🏼 ✌🏽 ✌🏾 ✌🏿
胡子	胡子 🧔 胡子 🧔 🧔🏻 🧔🏼 🧔🏽 🧔🏾 🧔🏿 🧔‍♂️ 🧔🏻‍♂️ 🧔🏼‍♂️ 🧔🏽‍♂️ 🧔🏾‍♂️ 🧔🏿‍♂️ 🧔‍♀️ 🧔🏻‍♀️ 🧔🏼‍♀️ 🧔🏽‍♀️ 🧔🏾‍♀️ 🧔🏿‍♀️
胡子女	胡子女 🧔‍♀️
胡扯	胡扯 🤥
胡桃樱	胡桃樱 胡桃さくら
胡萝卜	胡萝卜 🥕 胡萝卜 🥕
胡蘿蔔	胡蘿蔔 🥕
胡说	胡说 🤥 胡说 🤥
胡须	胡须 🧔
胳膊	胳膊 💪 🦾 💪🏻 💪🏼 💪🏽 💪🏾 💪🏿
胶卷	胶卷 🎞
胶囊	胶囊 💊
胶片	胶片 🎞
胸片	胸片 🩻 胸片 🩻
胸透	胸透 🩻 胸透 🩻
胸針	胸針 🏵️
能见度低	能见度低 🌁️
脏话	脏话 🤬 脏话 🤬
脑	脑 🧠 脑 🧠 脑 🧠
脑子	脑子 🧠 脑子 🧠
脑子爆炸	脑子爆炸 🤯
脑爆炸	脑爆炸 🤯
脑花	脑花 🧠
脑袋爆炸	脑袋爆炸 🤯
脚	脚 🦶 脚 🦶 👣 🦶🏻 🦶🏼 🦶🏽 🦶🏾 🦶🏿
脚丫	脚丫 🦶
脚丫子	脚丫子 🦶
脚印	脚印 👣 脚印 👣
脚踏车	脚踏车 🚲 脚踏车 🛴
脛	脛 🦵🏻
脫扣	脫扣 ⛓‍💥
脫氧核糖核酸	脫氧核糖核酸 🧬
脱发	脱发 👨‍🦲 👩‍🦲 🦲
脱氧核糖核酸	脱氧核糖核酸 🧬
脷	脷 👅️
脸发烧	脸发烧 🥵
脸红	脸红 😊 😳 脸红 😳
腕龙	腕龙 🦕
腳	腳 🦶🏻
腳印	腳印 🐾️ 👣️
腳底	腳底 🦶🏻
腳掌	腳掌 🦶🏻
腳步	腳步 👣️
腿	腿 🦵 腿 🦵🏻 腿 🦵 🦿 🦵🏻 🦵🏼 🦵🏽 🦵🏾 🦵🏿
腿儿	腿儿 🦵
膏布	膏布 🩹
膜拜	膜拜 🙇‍♂ 🙇‍ 🙇‍♀ 🙇🏻‍♂️ 🙇🏼‍♂️ 🙇🏽‍♂️ 🙇🏾‍♂️ 🙇🏿‍♂️ 🙇🏻 🙇🏼 🙇🏽 🙇🏾 🙇🏿 🙇🏻‍♀️ 🙇🏼‍♀️ 🙇🏽‍♀️ 🙇🏾‍♀️ 🙇🏿‍♀️
膠卷	膠卷 🎞️
膠布	膠布 🩹
膠片	膠片 🎞️
膨胀的心	膨胀的心 💗
膨胀的爱心	膨胀的爱心 💗
臉红	臉红 ☺️ 😊️
臍橙	臍橙 🍊️
自	自 ㉂
自信	自信 😎
自动人力车	自动人力车 🛺
自動輪椅	自動輪椅 🦼
自恋	自恋 (◡ᴗ◡✿)
自拍	自拍 🤳 自拍 🤳🏻 自拍 🤳 *(੭*ˊᵕˋ)੭*ଘ 🤳🏻 🤳🏼 🤳🏽 🤳🏾 🤳🏿
自杀	自杀 …〒_〒…‵ｏ′-一┳═┻︻▄
自来水	自来水 🚰️
